"A","Bilanca odhodkov","",""
"7338","Investicije in investicijsko vzdrževanje državnih organov","57000 28797 28333 49,7 98,4",""
"420","Nakup in gradnja osnovnih sredstev","57000 28797 28333 49,7 98,4",""
"9361","Konferenca mreže varuhov otrokovih pravic za JV Evropo v Sloveniji","0 15344 12623 - 82,3",""
"402","Izdatki za blago in storitve","0 15344 12623 - 82,3",""
"8621","Osnovna sredstva - sredstva od prodaje državnega premoženja","0 1135 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 1135 0 - 0,0",""
"7983","Osnovna sredstva - sredstva odškodnine","0 46 0 - 0,0",""
"402","Izdatki za blago in storitve","0 46 0 - 0,0",""
"01011206","Izvajanje Opcijskega protokola","75110 110110 107225 142,8 97,4",""
"6761","Plače - Opcijski sporazum","55448 95448 94714 170,8 99,2",""
"400","Plače in drugi izdatki zaposlenim","47553 79974 79434 167,0 99,3",""
"401","Prispevki delodajalcev za socialno varnost","6995 12775 12606 180,2 98,7",""
"402","Izdatki za blago in storitve","900 2699 2674 297,1 99,0",""
"5823","Materialni stroški - Opcijski sporazum","11316 10319 9527 84,2 92,3",""
"402","Izdatki za blago in storitve","11316 10319 9527 84,2 92,3",""
"6485","Sodelovanje z nevladnimi organizacijami","8346 4343 2984 35,8 68,7",""
"402","Izdatki za blago in storitve","0 1697 1077 - 63,5",""
"412","Transferi neprofitnim organizacijam in ustanovam","8346 2646 1907 22,9 72,1",""
"01011207","Urad zagovornikov otrok","75110 63844 56812 75,6 89,0",""
"9452","Urad zagovornikov otrok","75110 63844 56812 75,6 89,0",""
"402","Izdatki za blago in storitve","75110 63844 56812 75,6 89,0",""
"125","INFORMACIJSKI POOBLAŠČENEC","1282859 1299644 1291810 100,7 99,4",""
"1215","Informacijski pooblaščenec","1282859 1299644 1291810 100,7 99,4",""
"01","POLITIČNI SISTEM","1282859 1299644 1291810 100,7 99,4",""
"0101","Politični sistem","1282859 1299644 1291810 100,7 99,4",""
"01011205","Dostop do informacij javnega značaja","1282859 1299644 1291810 100,7 99,4",""
"1267","Plače","932859 944714 943149 101,1 99,8",""
"400","Plače in drugi izdatki zaposlenim","811599 799259 797896 98,3 99,8",""
"401","Prispevki delodajalcev za socialno varnost","106540 128041 127839 120,0 99,8",""
"402","Izdatki za blago in storitve","14720 17414 17414 118,3 100,0",""
"1271","Materialni stroški","330000 326173 323630 98,1 99,2",""
"402","Izdatki za blago in storitve","330000 326173 323630 98,1 99,2",""
"1273","Investicije in investicijsko vzdrževanje državnih organov","20000 21703 21703 108,5 100,0",""
"420","Nakup in gradnja osnovnih sredstev","20000 21703 21703 108,5 100,0",""
"7459","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","0 3300 3265 - 98,9",""
"402","Izdatki za blago in storitve","0 3300 3265 - 98,9",""
"7460","Stvarno premoženje - sredstva odškodnine","0 3753 63 - 1,7",""
"402","Izdatki za blago in storitve","0 63 63 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","0 3690 0 - 0,0",""
"131","USTAVNO SODIŠČE","4628412 4871786 4582816 99,0 94,1",""
"1311","Ustavno sodišče","4628412 4871786 4582816 99,0 94,1",""
"01","POLITIČNI SISTEM","4628412 4871786 4582816 99,0 94,1",""
"0101","Politični sistem","4628412 4871786 4582816 99,0 94,1",""
"01011301","Ustavno sodišče in njegovo delovanje","4628412 4871786 4582816 99,0 94,1",""
"3007","Plače","3650482 3673697 3637105 99,6 99,0",""
"400","Plače in drugi izdatki zaposlenim","3072688 3077943 3042100 99,0 98,8",""
"401","Prispevki delodajalcev za socialno varnost","500706 498114 497365 99,3 99,9",""
"402","Izdatki za blago in storitve","77088 97640 97640 126,7 100,0",""
"3331","Materialni stroški","619840 697110 687899 111,0 98,7",""
"402","Izdatki za blago in storitve","619840 697110 687899 111,0 98,7",""
"2820","Investicije in investicijsko vzdrževanje državnih organov","253600 102172 97739 38,5 95,7",""
"420","Nakup in gradnja osnovnih sredstev","253600 102172 97739 38,5 95,7",""
"3655","Drugi odhodki za delo na drugih področjih","58690 52413 48149 82,0 91,9",""
"402","Izdatki za blago in storitve","58690 52413 48149 82,0 91,9",""
"9330","Odločanje v razumnem roku pred Ustavnim sodiščem","0 82928 81150 - 97,9",""
"400","Plače in drugi izdatki zaposlenim","0 69139 67361 - 97,4",""
"401","Prispevki delodajalcev za socialno varnost","0 10845 10845 - 100,0",""
"402","Izdatki za blago in storitve","0 2943 2943 - 100,0",""
"8752","Upravljanje in vzdrževanje službenih in najemnih stanovanj","7200 4707 4275 59,4 90,8",""
"402","Izdatki za blago in storitve","7200 4707 4275 59,4 90,8",""
"8421","Prodaja državnega premoženja - sredstva kupnine od prodaje državnega premoženja","4800 126678 11011 229,4 8,7",""
"420","Nakup in gradnja osnovnih sredstev","4800 126678 11011 229,4 8,7",""
"131","Gostinska dejavnost za potrebe državnih organov","11300 13753 12186 107,8 88,6",""
"402","Izdatki za blago in storitve","11300 13753 12186 107,8 88,6",""
"8906","Osnovna sredstva - sredstva odškodnine","2500 5116 3301 132,1 64,5",""
"402","Izdatki za blago in storitve","2500 5116 3301 132,1 64,5",""
"7988","Nepremičnine - sredstva najemnine","20000 113212 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","20000 113212 0 0,0 0,0",""
"132","RAČUNSKO SODIŠČE","6940277 6941040 6833980 98,5 98,5",""
"1312","Računsko sodišče","6940277 6941040 6833980 98,5 98,5",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","6940277 6941040 6833980 98,5 98,5",""
"0203","Fiskalni nadzor","6940277 6941040 6833980 98,5 98,5",""
"02031301","Dejavnost Računskega sodišča","6940277 6941040 6833980 98,5 98,5",""
"5911","Plače","5247778 5284778 5272497 100,5 99,8",""
"400","Plače in drugi izdatki zaposlenim","4395269 4434969 4424654 100,7 99,8",""
"401","Prispevki delodajalcev za socialno varnost","701757 714157 712321 101,5 99,7",""
"402","Izdatki za blago in storitve","150752 135652 135522 89,9 99,9",""
"5914","Materialni stroški","716086 698586 623927 87,1 89,3",""
"402","Izdatki za blago in storitve","716086 698586 623927 87,1 89,3",""
"2822","Investicije in investicijsko vzdrževanje državnih organov","975213 955713 935593 95,9 97,9",""
"420","Nakup in gradnja osnovnih sredstev","975213 955713 935593 95,9 97,9",""
"1093","Odprodaja - Sredstva od prodaje državnega premoženja","1200 250 250 20,8 100,0",""
"420","Nakup in gradnja osnovnih sredstev","1200 250 250 20,8 100,0",""
"8652","Prevozna sredstva - sredstva odškodnine","0 1713 1713 - 100,0",""
"402","Izdatki za blago in storitve","0 1713 1713 - 100,0",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1217409 1461989 1365066 112,1 93,4",""
"1314","Državna revizijska komisija","1217409 1461989 1365066 112,1 93,4",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","1217409 1461989 1365066 112,1 93,4",""
"0202","Urejanje na področju fiskalne politike","1217409 1461989 1365066 112,1 93,4",""
"02021301","Javna naročila in nadzor","1217409 1461989 1365066 112,1 93,4",""
"1020","Plače","905118 908871 848144 93,7 93,3",""
"400","Plače in drugi izdatki zaposlenim","763434 766116 711670 93,2 92,9",""
"401","Prispevki delodajalcev za socialno varnost","120778 120815 114534 94,8 94,8",""
"402","Izdatki za blago in storitve","20906 21940 21940 105,0 100,0",""
"1021","Materialni stroški","281226 281226 259538 92,3 92,3",""
"402","Izdatki za blago in storitve","281226 281226 259538 92,3 92,3",""
"1022","Investicije in investicijsko vzdrževanje","30065 30065 29931 99,6 99,6",""
"420","Nakup in gradnja osnovnih sredstev","30065 30065 29931 99,6 99,6",""
"9061","Twinning BiH","0 241073 227453 - 94,4",""
"400","Plače in drugi izdatki zaposlenim","0 3353 3346 - 99,8",""
"401","Prispevki delodajalcev za socialno varnost","0 543 539 - 99,1",""
"402","Izdatki za blago in storitve","0 237177 223568 - 94,3",""
"9185","Sredstva kupnine od prodaje državnega premoženja","1000 754 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","1000 754 0 0,0 0,0",""
"135","KOMISIJA ZA PREPREČEVANJE KORUPCIJE","596000 705303 693968 116,4 98,4",""
"1315","Komisija za preprečevanje korupcije","596000 705303 693968 116,4 98,4",""
"08","NOTRANJE ZADEVE IN VARNOST","596000 705303 693968 116,4 98,4",""
"0801","Notranje zadeve","596000 701317 689982 115,8 98,4",""
"08011301","Urejanje na področju preprečevanja korupcije","596000 701317 689982 115,8 98,4",""
"5432","Plače","420200 485517 480580 114,4 99,0",""
"400","Plače in drugi izdatki zaposlenim","352900 408785 403848 114,4 98,8",""
"401","Prispevki delodajalcev za socialno varnost","56300 63733 63733 113,2 100,0",""
"402","Izdatki za blago in storitve","11000 13000 13000 118,2 100,0",""
"5435","Materialni stroški","149800 204237 197839 132,1 96,9",""
"402","Izdatki za blago in storitve","149800 204237 197839 132,1 96,9",""
"5438","Investicije in investicijsko vzdrževanje državnih organov","26000 11563 11563 44,5 100,0",""
"420","Nakup in gradnja osnovnih sredstev","26000 11563 11563 44,5 100,0",""
"0802","Policijska in kriminalistična dejavnost","0 3986 3986 - 100,0",""
"08021501","Urejanje na področju preprečevanja korupcije","0 3986 3986 - 100,0",""
"7450","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","0 3986 3986 - 100,0",""
"402","Izdatki za blago in storitve","0 3986 3986 - 100,0",""
"39","SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI","3928924 3988366 3762962 95,8 94,4",""
"3911","Slovenska akademija znanosti in umetnosti","3928924 3988366 3762962 95,8 94,4",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","3928924 3988366 3762962 95,8 94,4",""
"0501","Urejanje sistema znanstvenega raziskovanja","",""
"05013901","Slovenska akademija znanosti in umetnosti","3672174 3693103 3467699 94,4 93,9",""
"3092","Plače","1026035 1052035 1032782 100,7 98,2",""
"400","Plače in drugi izdatki zaposlenim","864787 889687 876053 101,3 98,5",""
"401","Prispevki delodajalcev za socialno varnost","141333 145433 141967 100,5 97,6",""
"402","Izdatki za blago in storitve","19915 16915 14761 74,1 87,3",""
"3416","Materialni stroški","128331 143331 129595 101,0 90,4",""
"402","Izdatki za blago in storitve","128331 143331 129595 101,0 90,4",""
"6164","Materialni stroški biblioteke","35509 59509 47688 134,3 80,1",""
"402","Izdatki za blago in storitve","35509 59509 47688 134,3 80,1",""
"2938","Investicije in investicijsko vzdrževanje državnih organov","250375 250375 248528 99,3 99,3",""
"420","Nakup in gradnja osnovnih sredstev","250375 250375 248528 99,3 99,3",""
"5252","Članske nagrade akademikom","1892800 1707300 1613950 85,3 94,5",""
"411","Transferi posameznikom in gospodinjstvom","1892800 1707300 1613950 85,3 94,5",""
"7944","Fond upokojenih akademikov","61163 66163 58736 96,0 88,8",""
"402","Izdatki za blago in storitve","59911 64788 57361 95,7 88,5",""
"420","Nakup in gradnja osnovnih sredstev","1252 1375 1375 109,9 100,0",""
"3740","Meddržavno sodelovanje","80958 80958 48952 60,5 60,5",""
"402","Izdatki za blago in storitve","80958 80958 48952 60,5 60,5",""
"6163","Nakup revij in knjig","22363 25363 24333 108,8 95,9",""
"402","Izdatki za blago in storitve","22363 25363 24333 108,8 95,9",""
"6165","Tisk Letopisa in publikacij SAZU","79790 159790 151888 190,4 95,1",""
"402","Izdatki za blago in storitve","68290 148290 140388 205,6 94,7",""
"412","Transferi neprofitnim organizacijam in ustanovam","1500 1500 1500 100,0 100,0",""
"413","Drugi tekoči domači transferi","10000 10000 10000 100,0 100,0",""
"7913","Finančne pomoči - donacija","47000 85338 68273 145,3 80,0",""
"402","Izdatki za blago in storitve","47000 42356 28273 60,2 66,8",""
"420","Nakup in gradnja osnovnih sredstev","0 42982 40000 - 93,1",""
"4563","Zamenjava stvarnega premoženja","2504 5200 867 34,6 16,7",""
"420","Nakup in gradnja osnovnih sredstev","2504 5200 867 34,6 16,7",""
"171","Prodaja knjig, najemnine in drugo","44512 57741 42109 94,6 72,9",""
"402","Izdatki za blago in storitve","43260 55161 39530 91,4 71,7",""
"420","Nakup in gradnja osnovnih sredstev","1252 2580 2579 206,0 100,0",""
"172","Stanovanjska sredstva","834 0 0 0,0 -",""
"402","Izdatki za blago in storitve","834 0 0 0,0 -",""
"0502","Znanstveno - raziskovalna dejavnost","256750 295263 295263 115,0 100,0",""
"05023901","Znanstveno-raziskovalna dejavnost","256750 295263 295263 115,0 100,0",""
"4483","Znanstveno raziskovalni center SAZU","256750 295263 295263 115,0 100,0",""
"413","Drugi tekoči domači transferi","256750 295263 295263 115,0 100,0",""
"14","KABINET PREDSEDNIKA VLADE","2969360 2979298 2479552 83,5 83,2",""
"1411","Kabinet predsednika vlade","2969360 2979298 2479552 83,5 83,2",""
"01","POLITIČNI SISTEM","2752319 2762257 2277055 82,7 82,4",""
"0101","Politični sistem","2752319 2762257 2277055 82,7 82,4",""
"01011401","Dejavnost kabineta predsednika vlade","2752319 2762257 2277055 82,7 82,4",""
"3002","Plače","1686301 1706541 1672007 99,2 98,0",""
"400","Plače in drugi izdatki zaposlenim","1421243 1421474 1398634 98,4 98,4",""
"401","Prispevki delodajalcev za socialno varnost","210058 230067 224670 107,0 97,7",""
"402","Izdatki za blago in storitve","55000 55000 48704 88,6 88,6",""
"3326","Materialni stroški","853108 826272 508232 59,6 61,5",""
"402","Izdatki za blago in storitve","853108 826272 508232 59,6 61,5",""
"2825","Investicije in investicijsko vzdrževanje državnih organov","73686 73686 44881 60,9 60,9",""
"420","Nakup in gradnja osnovnih sredstev","73686 73686 44881 60,9 60,9",""
"1823","Financiranje projektov","96174 96174 19741 20,5 20,5",""
"402","Izdatki za blago in storitve","96174 96174 19741 20,5 20,5",""
"4900","Sistem varovanja","43050 43050 32194 74,8 74,8",""
"402","Izdatki za blago in storitve","34250 34250 28353 82,8 82,8",""
"420","Nakup in gradnja osnovnih sredstev","8800 8800 3842 43,7 43,7",""
"8904","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","0 12066 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 12066 0 - 0,0",""
"7629","Stvarno premoženje - sredstva odškodnine","0 4469 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 4469 0 - 0,0",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","217041 217041 202497 93,3 93,3",""
"0304","Predsedovanje EU","",""
"03041401","Predsedovanje EU","217041 217041 202497 93,3 93,3",""
"7502","Predsedovanje EU","217041 217041 202497 93,3 93,3",""
"400","Plače in drugi izdatki zaposlenim","82560 104985 104728 126,9 99,8",""
"401","Prispevki delodajalcev za socialno varnost","12481 16301 16301 130,6 100,0",""
"402","Izdatki za blago in storitve","122000 95756 81468 66,8 85,1",""
"15","VLADNE SLUŽBE","48112142 49530060 45023726 93,6 90,9",""
"1511","Generalni sekretariat vlade","29087520 27511284 23879076 82,1 86,8",""
"01","POLITIČNI SISTEM","10681776 14703201 11368308 106,4 77,3",""
"0101","Politični sistem","10681776 14703201 11368308 106,4 77,3",""
"01011502","Dejavnost generalnega sekretariata vlade","10681776 14703201 11368308 106,4 77,3",""
"1576","Plače","5269666 5284435 5213979 98,9 98,7",""
"400","Plače in drugi izdatki zaposlenim","4429482 4435061 4396683 99,3 99,1",""
"401","Prispevki delodajalcev za socialno varnost","720184 729373 706256 98,1 96,8",""
"402","Izdatki za blago in storitve","120000 120000 111039 92,5 92,5",""
"1607","Materialni stroški","1683829 1612635 1303269 77,4 80,8",""
"402","Izdatki za blago in storitve","1683829 1612635 1303269 77,4 80,8",""
"1554","Investicije in investicijsko vzdrževanje državnih organov","360711 523589 510605 141,6 97,5",""
"420","Nakup in gradnja osnovnih sredstev","360711 523589 510605 141,6 97,5",""
"1309","EU - portal","399385 264716 264716 66,3 100,0",""
"402","Izdatki za blago in storitve","241605 123097 123097 51,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","157780 141619 141619 89,8 100,0",""
"1586","Povračilo stroškov volilne kampanje","75260 170664 170664 226,8 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","75260 170664 170664 226,8 100,0",""
"4324","Sofinanciranje strank","2825504 2827944 2827944 100,1 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","2825504 2827944 2827944 100,1 100,0",""
"8922","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","8500 2404587 391084 - 16,3",""
"420","Nakup in gradnja osnovnih sredstev","8500 2404587 391084 - 16,3",""
"142","Počitniška dejavnost GSV","836 0 0 0,0 -",""
"402","Izdatki za blago in storitve","836 0 0 0,0 -",""
"7901","Osnovna sredstva - sredstva odškodnine","0 4066 0 - 0,0",""
"402","Izdatki za blago in storitve","0 4066 0 - 0,0",""
"7409","Najemnine - sredstva najemnine","58086 1610566 686047 - 42,6",""
"402","Izdatki za blago in storitve","58086 1536726 686047 - 44,6",""
"420","Nakup in gradnja osnovnih sredstev","0 73841 0 - 0,0",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","13941042 8467042 8169729 58,6 96,5",""
"0304","Predsedovanje EU","13941042 8467042 8169729 58,6 96,5",""
"03041501","Predsedovanje EU","13941042 8467042 8169729 58,6 96,5",""
"400","Plače in drugi izdatki zaposlenim","276115 258970 223828 81,1 86,4",""
"401","Prispevki delodajalcev za socialno varnost","21672 37315 35327 163,0 94,7",""
"402","Izdatki za blago in storitve","4800 6302 6287 131,0 99,8",""
"402","Izdatki za blago in storitve","13275809 7845809 7586267 57,1 96,7",""
"413","Drugi tekoči domači transferi","360000 316000 315374 87,6 99,8",""
"420","Nakup in gradnja osnovnih sredstev","2646 2646 2646 100,0 100,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","4464701 4341040 4341039 97,2 100,0",""
"0403","Druge skupne administrativne službe","4464701 4341040 4341039 97,2 100,0",""
"04031509","Izvedba protokolarnih dogodkov","4464701 4341040 4341039 97,2 100,0",""
"2175","JGZ - Brdo","4464701 4341040 4341039 97,2 100,0",""
"413","Drugi tekoči domači transferi","4464701 4341040 4341039 97,2 100,0",""
"1512","Protokol v vladi Republike Slovenije","2647128 3873948 3863827 146,0 99,7",""
"03","ZUNANJA POLITIKA IN MEDNARODNA POMOČ","173457 208457 206269 118,9 99,0",""
"0304","Predsedovanje EU","173457 208457 206269 118,9 99,0",""
"03041501","Predsedovanje EU","173457 208457 206269 118,9 99,0",""
"5816","Predsedovanje EU","173457 208457 206269 118,9 99,0",""
"400","Plače in drugi izdatki zaposlenim","124546 166324 166324 133,5 100,0",""
"401","Prispevki delodajalcev za socialno varnost","20921 35037 35025 167,4 100,0",""
"402","Izdatki za blago in storitve","27990 7096 4919 17,6 69,3",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2473671 3665491 3657558 147,9 99,8",""
"0403","Druge skupne administrativne službe","",""
"04031509","Izvedba protokolarnih dogodkov","2473671 3665491 3657558 147,9 99,8",""
"3005","Plače","1013168 1205666 1204583 118,9 99,9",""
