"A","Bilanca odhodkov","",""
"400","Plače in drugi izdatki zaposlenim","495485 634299 634142 128,0 100,0",""
"401","Prispevki delodajalcev za socialno varnost","73959 95469 95469 129,1 100,0",""
"402","Izdatki za blago in storitve","1878138 1717813 1260785 67,1 73,4",""
"9557","Twinning projekt - ""Legal harmonisation"" v Črni gori","0 1500 0 - 0,0",""
"400","Plače in drugi izdatki zaposlenim","0 1500 0 - 0,0",""
"1202","Prevozna sredstva - sredstva odprodaje državnega premoženja","21699 46620 6365 29,3 13,7",""
"420","Nakup in gradnja osnovnih sredstev","21699 46620 6365 29,3 13,7",""
"125","Restavracija","248289 332425 281141 113,2 84,6",""
"402","Izdatki za blago in storitve","248289 332425 281141 113,2 84,6",""
"8926","Prevozna sredstva - sredstva odškodnine","0 2266 0 - 0,0",""
"402","Izdatki za blago in storitve","0 2266 0 - 0,0",""
"402","Izdatki za blago in storitve","74762 128414 11742 15,7 9,1",""
"420","Nakup in gradnja osnovnih sredstev","25238 64676 40378 160,0 62,4",""
"122","DRŽAVNI SVET","2325037 2339425 2289619 98,5 97,9",""
"1212","Državni svet","2325037 2339425 2289619 98,5 97,9",""
"01","POLITIČNI SISTEM","2325037 2339425 2289619 98,5 97,9",""
"0101","Politični sistem","2325037 2339425 2289619 98,5 97,9",""
"01011204","Dejavnost državnega sveta","2325037 2339425 2289619 98,5 97,9",""
"8131","Plače","1059511 1056844 1008294 95,2 95,4",""
"400","Plače in drugi izdatki zaposlenim","906100 902242 857641 94,7 95,1",""
"401","Prispevki delodajalcev za socialno varnost","153411 154602 150653 98,2 97,5",""
"8134","Materialni stroški","382182 417380 417249 109,2 100,0",""
"402","Izdatki za blago in storitve","382182 417380 417249 109,2 100,0",""
"2818","Investicije in investicijsko vzdrževanje državnih organov","92824 96954 96929 104,4 100,0",""
"420","Nakup in gradnja osnovnih sredstev","92824 96954 96929 104,4 100,0",""
"8139","Drugi odhodki za delo","771262 755447 754395 97,8 99,9",""
"402","Izdatki za blago in storitve","771262 755447 754395 97,8 99,9",""
"9183","Prodaja državnega premoženja - sredstva kupnine od prodaje državnega premoženja","19258 12600 12600 65,4 100,0",""
"420","Nakup in gradnja osnovnih sredstev","19258 12600 12600 65,4 100,0",""
"8721","Stvarno premoženje - sredstva odškodnine","0 200 151 - 75,5",""
"402","Izdatki za blago in storitve","0 200 151 - 75,5",""
"123","DRŽAVNA VOLILNA KOMISIJA","3797586 4453222 4444370 117,0 99,8",""
"1213","Državna volilna komisija","3797586 4453222 4444370 117,0 99,8",""
"01","POLITIČNI SISTEM","3797586 4453222 4444370 117,0 99,8",""
"0101","Politični sistem","3797586 4453222 4444370 117,0 99,8",""
"01011202","Izvedba in nadzor volitev in referendumov","3797586 4453222 4444370 117,0 99,8",""
"7660","Plače","151975 153742 151136 99,5 98,3",""
"400","Plače in drugi izdatki zaposlenim","130520 132185 129772 99,4 98,2",""
"401","Prispevki delodajalcev za socialno varnost","21455 21557 21364 99,6 99,1",""
"7670","Materialni stroški","153387 149427 149134 97,2 99,8",""
"402","Izdatki za blago in storitve","153387 149427 149134 97,2 99,8",""
"2819","Investicije in investicijsko vzdrževanje državnih organov","12500 12500 12497 100,0 100,0",""
"420","Nakup in gradnja osnovnih sredstev","12500 12500 12497 100,0 100,0",""
"1250","Izvedba volitev poslancev iz Slovenije v evropski parlament","3471724 4029738 4029738 116,1 100,0",""
"402","Izdatki za blago in storitve","3471724 4029738 4029738 116,1 100,0",""
"8750","Referendum o preoblikovanju občin","0 103197 97246 - 94,2",""
"402","Izdatki za blago in storitve","0 103197 97246 - 94,2",""
"6762","Stalna izplačila nadomestil (ZVDZ-B)","8000 4618 4618 57,7 100,0",""
"402","Izdatki za blago in storitve","8000 4618 4618 57,7 100,0",""
"124","VARUH ČLOVEKOVIH PRAVIC","2306766 2337586 2232296 96,8 95,5",""
"1214","Varuh človekovih pravic","2306766 2337586 2232296 96,8 95,5",""
"01","POLITIČNI SISTEM","2306766 2337586 2232296 96,8 95,5",""
"0101","Politični sistem","2306766 2337586 2232296 96,8 95,5",""
"01011203","Varovanje človekovih pravic in temeljnih svoboščin","2107319 2141543 2043987 97,0 95,4",""
"3095","Plače","1532342 1559677 1467875 95,8 94,1",""
"400","Plače in drugi izdatki zaposlenim","1302248 1346583 1265380 97,2 94,0",""
"401","Prispevki delodajalcev za socialno varnost","230094 213094 202495 88,0 95,0",""
"3419","Materialni stroški","442567 444271 440151 99,5 99,1",""
"402","Izdatki za blago in storitve","442567 444271 440151 99,5 99,1",""
"7338","Investicije in investicijsko vzdrževanje državnih organov","132410 134110 133657 100,9 99,7",""
"420","Nakup in gradnja osnovnih sredstev","132410 134110 133657 100,9 99,7",""
"9361","Konferenca mreže varuhov otrokovih pravic za JV Evropo v Sloveniji","0 2304 2304 - 100,0",""
"402","Izdatki za blago in storitve","0 2304 2304 - 100,0",""
"8621","Osnovna sredstva - sredstva od prodaje državnega premoženja","0 1135 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 1135 0 - 0,0",""
"402","Izdatki za blago in storitve","0 46 0 - 0,0",""
"01011206","Izvajanje Opcijskega protokola","123104 119700 114367 92,9 95,6",""
"6761","Plače - Opcijski sporazum","102279 102279 100561 98,3 98,3",""
"400","Plače in drugi izdatki zaposlenim","88265 88519 86804 98,4 98,1",""
"401","Prispevki delodajalcev za socialno varnost","14014 13760 13757 98,2 100,0",""
"402","Izdatki za blago in storitve","12203 8799 7403 60,7 84,1",""
"6485","Sodelovanje z nevladnimi organizacijami","8622 8622 6403 74,3 74,3",""
"402","Izdatki za blago in storitve","0 4200 2998 - 71,4",""
"412","Transferi neprofitnim organizacijam in ustanovam","8622 4422 3405 39,5 77,0",""
"01011207","Urad zagovornikov otrok","76343 76343 73941 96,9 96,9",""
"9452","Urad zagovornikov otrok","76343 76343 73941 96,9 96,9",""
"402","Izdatki za blago in storitve","76343 76343 73941 96,9 96,9",""
"125","INFORMACIJSKI POOBLAŠČENEC","1319809 1346993 1337181 101,3 99,3",""
"1215","Informacijski pooblaščenec","1319809 1346993 1337181 101,3 99,3",""
"01","POLITIČNI SISTEM","1319809 1346993 1337181 101,3 99,3",""
"0101","Politični sistem","1319809 1346993 1337181 101,3 99,3",""
"01011205","Dostop do informacij javnega značaja","1319809 1346993 1337181 101,3 99,3",""
"1267","Plače","957809 1001167 998804 104,3 99,8",""
"400","Plače in drugi izdatki zaposlenim","850855 862684 860649 101,2 99,8",""
"401","Prispevki delodajalcev za socialno varnost","106954 138483 138155 129,2 99,8",""
"1271","Materialni stroški","330000 301227 300648 91,1 99,8",""
"402","Izdatki za blago in storitve","330000 301227 300648 91,1 99,8",""
"1273","Investicije in investicijsko vzdrževanje državnih organov","20000 26474 26474 132,4 100,0",""
"420","Nakup in gradnja osnovnih sredstev","20000 26474 26474 132,4 100,0",""
"9378","Evropska sredstva za sodelovanje v projektu European Privacy Open Space - donacija","12000 14400 8425 70,2 58,5",""
"402","Izdatki za blago in storitve","12000 14400 8425 70,2 58,5",""
"7459","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","0 35 0 - 0,0",""
"402","Izdatki za blago in storitve","0 35 0 - 0,0",""
"7460","Stvarno premoženje - sredstva odškodnine","0 3690 2830 - 76,7",""
"402","Izdatki za blago in storitve","0 3690 2830 - 76,7",""
"126","SVET REPUBLIKE SLOVENIJE ZA VISOKO ŠOLSTVO","1416761 1416761 663837 46,9 46,9",""
"1216","Svet Republike Slovenije za visoko šolstvo","1416761 1416761 663837 46,9 46,9",""
"19","IZOBRAŽEVANJE","1416761 1416761 663837 46,9 46,9",""
"1901","Urejanje izobraževalnega sistema","",""
"19011201","Urejanje izobraževalnega sistema","468006 460859 458102 97,9 99,4",""
"9456","Plače","313474 298474 295886 94,4 99,1",""
"400","Plače in drugi izdatki zaposlenim","283617 257158 254623 89,8 99,0",""
"401","Prispevki delodajalcev za socialno varnost","29857 41316 41263 138,2 99,9",""
"9457","Materialni stroški","139681 149881 149712 107,2 99,9",""
"402","Izdatki za blago in storitve","139681 149881 149712 107,2 99,9",""
"9458","Investicije in investicijsko vzdrževanje državnih organov","14851 12504 12504 84,2 100,0",""
"420","Nakup in gradnja osnovnih sredstev","14851 12504 12504 84,2 100,0",""
"1904","Terciarno izobraževanje","",""
"19041201","Visokošolsko izobraževanje","948755 955902 205734 21,7 21,5",""
"9459","Delovanje Sveta RS za visoko šolstvo","104670 111817 111656 106,7 99,9",""
"402","Izdatki za blago in storitve","104670 111817 111656 106,7 99,9",""
"9460","Kakovost visokega šolstva","94119 94119 94079 100,0 100,0",""
"402","Izdatki za blago in storitve","94119 94119 94079 100,0 100,0",""
"13","- EU","",""
"413","Drugi tekoči domači transferi","637472 637472 0 0,0 0,0",""
"9462","Kakovost, konkurenčnost in odzivnost visokega šolstva - ESS - 07-","112495 112495 0 0,0 0,0",""
"13","- slovenska udeležba","",""
"413","Drugi tekoči domači transferi","112495 112495 0 0,0 0,0",""
"131","USTAVNO SODIŠČE","4875579 4951218 4715473 96,7 95,2",""
"1311","Ustavno sodišče","4875579 4951218 4715473 96,7 95,2",""
"01","POLITIČNI SISTEM","4875579 4951218 4715473 96,7 95,2",""
"0101","Politični sistem","4875579 4951218 4715473 96,7 95,2",""
"01011301","Ustavno sodišče in njegovo delovanje","4875579 4951218 4715473 96,7 95,2",""
"3007","Plače","3629659 3601690 3586081 98,8 99,6",""
"400","Plače in drugi izdatki zaposlenim","3122557 3098763 3083154 98,7 99,5",""
"401","Prispevki delodajalcev za socialno varnost","507102 502926 502926 99,2 100,0",""
"3331","Materialni stroški","545632 570695 566746 103,9 99,3",""
"402","Izdatki za blago in storitve","545632 570695 566746 103,9 99,3",""
"2820","Investicije in investicijsko vzdrževanje državnih organov","183160 150063 150063 81,9 100,0",""
"420","Nakup in gradnja osnovnih sredstev","183160 150063 150063 81,9 100,0",""
"3655","Drugi odhodki za delo na drugih področjih","56500 64096 64096 113,4 100,0",""
"402","Izdatki za blago in storitve","56500 64096 64096 113,4 100,0",""
"9330","Odločanje v razumnem roku pred Ustavnim sodiščem","181842 282331 282331 155,3 100,0",""
"400","Plače in drugi izdatki zaposlenim","156625 243179 243179 155,3 100,0",""
"401","Prispevki delodajalcev za socialno varnost","25217 39152 39152 155,3 100,0",""
"8752","Upravljanje in vzdrževanje službenih in najemnih stanovanj","6220 6659 6659 107,1 100,0",""
"402","Izdatki za blago in storitve","6220 6659 6659 107,1 100,0",""
"8421","Prodaja državnega premoženja - sredstva kupnine od prodaje državnega premoženja","116366 115757 19347 16,6 16,7",""
"402","Izdatki za blago in storitve","115666 21189 19347 16,7 91,3",""
"420","Nakup in gradnja osnovnih sredstev","700 94568 0 0,0 0,0",""
"131","Gostinska dejavnost za potrebe državnih organov","16300 16913 13644 83,7 80,7",""
"402","Izdatki za blago in storitve","16300 16913 13644 83,7 80,7",""
"8906","Osnovna sredstva - sredstva odškodnine","8000 8446 5773 72,2 68,4",""
"402","Izdatki za blago in storitve","8000 8446 5773 72,2 68,4",""
"7988","Nepremičnine - sredstva najemnine","131900 134569 20734 15,7 15,4",""
"402","Izdatki za blago in storitve","105100 4770 4770 4,5 100,0",""
"420","Nakup in gradnja osnovnih sredstev","26800 129799 15964 59,6 12,3",""
"132","RAČUNSKO SODIŠČE","6868994 6976172 6768345 98,5 97,0",""
"1312","Računsko sodišče","6868994 6976172 6768345 98,5 97,0",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","6868994 6976172 6768345 98,5 97,0",""
"0203","Fiskalni nadzor","6868994 6976172 6768345 98,5 97,0",""
"02031301","Dejavnost Računskega sodišča","6868994 6976172 6768345 98,5 97,0",""
"5911","Plače","5339343 5446281 5361944 100,4 98,5",""
"400","Plače in drugi izdatki zaposlenim","4607798 4696951 4618075 100,2 98,3",""
"401","Prispevki delodajalcev za socialno varnost","731545 749330 743869 101,7 99,3",""
"5914","Materialni stroški","673700 673700 576321 85,6 85,6",""
"402","Izdatki za blago in storitve","673700 673700 576321 85,6 85,6",""
"2822","Investicije in investicijsko vzdrževanje državnih organov","854721 854721 829010 97,0 97,0",""
"420","Nakup in gradnja osnovnih sredstev","854721 854721 829010 97,0 97,0",""
"1093","Odprodaja - Sredstva od prodaje državnega premoženja","1230 1470 1070 87,0 72,8",""
"420","Nakup in gradnja osnovnih sredstev","1230 1470 1070 87,0 72,8",""
"134","DRŽAVNA REVIZIJSKA KOMISIJA","1181843 1194393 1097929 92,9 91,9",""
"1314","Državna revizijska komisija","1181843 1194393 1097929 92,9 91,9",""
"02","EKONOMSKA IN FISKALNA ADMINISTRACIJA","1181843 1194393 1097929 92,9 91,9",""
"0202","Urejanje na področju fiskalne politike","1181843 1194393 1097929 92,9 91,9",""
"02021301","Javna naročila in nadzor","1181843 1194393 1097929 92,9 91,9",""
"1020","Plače","902316 915112 868567 96,3 94,9",""
"400","Plače in drugi izdatki zaposlenim","774977 787773 747670 96,5 94,9",""
"401","Prispevki delodajalcev za socialno varnost","127339 127339 120897 94,9 94,9",""
"1021","Materialni stroški","254348 254348 212191 83,4 83,4",""
"402","Izdatki za blago in storitve","254348 254348 212191 83,4 83,4",""
"1022","Investicije in investicijsko vzdrževanje","10561 10561 3553 33,6 33,6",""
"420","Nakup in gradnja osnovnih sredstev","10561 10561 3553 33,6 33,6",""
"9061","Twinning BiH","13618 13618 13618 100,0 100,0",""
"402","Izdatki za blago in storitve","13618 13618 13618 100,0 100,0",""
"9185","Sredstva kupnine od prodaje državnega premoženja","1000 754 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","1000 754 0 0,0 0,0",""
"135","KOMISIJA ZA PREPREČEVANJE KORUPCIJE","1156847 1162537 1049080 90,7 90,2",""
"1315","Komisija za preprečevanje korupcije","1156847 1162537 1049080 90,7 90,2",""
"08","NOTRANJE ZADEVE IN VARNOST","1156847 1162537 1049080 90,7 90,2",""
"0801","Notranje zadeve","1156847 1162537 1049080 90,7 90,2",""
"08011301","Urejanje na področju preprečevanja korupcije","1156847 1162537 1049080 90,7 90,2",""
"5432","Plače","627885 633575 562406 89,6 88,8",""
"400","Plače in drugi izdatki zaposlenim","546317 551881 486123 89,0 88,1",""
"401","Prispevki delodajalcev za socialno varnost","81568 81694 76283 93,5 93,4",""
"5435","Materialni stroški","414842 437842 431017 103,9 98,4",""
"402","Izdatki za blago in storitve","414842 437842 431017 103,9 98,4",""
"5438","Investicije in investicijsko vzdrževanje državnih organov","114120 91120 55657 48,8 61,1",""
"420","Nakup in gradnja osnovnih sredstev","114120 91120 55657 48,8 61,1",""
"39","SLOVENSKA AKADEMIJA ZNANOSTI IN UMETNOSTI","4275015 4308509 4168991 97,5 96,8",""
"3911","Slovenska akademija znanosti in umetnosti","4275015 4308509 4168991 97,5 96,8",""
"05","ZNANOST IN TEHNOLOŠKI RAZVOJ","4275015 4308509 4168991 97,5 96,8",""
"0501","Urejanje sistema znanstvenega raziskovanja","",""
"05013901","Slovenska akademija znanosti in umetnosti","3620934 3654428 3514910 97,1 96,2",""
"3092","Plače","1083147 1140242 1139352 105,2 99,9",""
"400","Plače in drugi izdatki zaposlenim","938578 984278 983416 104,8 99,9",""
"401","Prispevki delodajalcev za socialno varnost","144569 155964 155936 107,9 100,0",""
"3416","Materialni stroški","125579 125579 107110 85,3 85,3",""
"402","Izdatki za blago in storitve","125579 125579 107110 85,3 85,3",""
"6164","Materialni stroški biblioteke","46361 67361 58718 126,7 87,2",""
"402","Izdatki za blago in storitve","46361 67361 58718 126,7 87,2",""
"2938","Investicije in investicijsko vzdrževanje državnih organov","215000 215000 213178 99,2 99,2",""
"420","Nakup in gradnja osnovnih sredstev","215000 215000 213178 99,2 99,2",""
"5252","Članske nagrade akademikom","1778342 1724642 1724623 97,0 100,0",""
"411","Transferi posameznikom in gospodinjstvom","1778342 1724642 1724623 97,0 100,0",""
"7944","Fond upokojenih akademikov","62631 62631 38909 62,1 62,1",""
"402","Izdatki za blago in storitve","61231 61231 38909 63,5 63,5",""
"420","Nakup in gradnja osnovnih sredstev","1400 1400 0 0,0 0,0",""
"3740","Meddržavno sodelovanje","97756 95016 60694 62,1 63,9",""
"402","Izdatki za blago in storitve","97756 95016 60694 62,1 63,9",""
"6163","Nakup revij in knjig","22900 22900 22814 99,6 99,6",""
"402","Izdatki za blago in storitve","22900 22900 22814 99,6 99,6",""
"6165","Tisk Letopisa in publikacij SAZU","79827 79827 67588 84,7 84,7",""
"402","Izdatki za blago in storitve","65747 65547 54588 83,0 83,3",""
"412","Transferi neprofitnim organizacijam in ustanovam","1280 1280 0 0,0 0,0",""
"413","Drugi tekoči domači transferi","12800 13000 13000 101,6 100,0",""
"402","Izdatki za blago in storitve","50300 51672 37589 74,7 72,7",""
"420","Nakup in gradnja osnovnih sredstev","12561 2982 0 0,0 0,0",""
"4563","Zamenjava stvarnega premoženja","0 4333 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","0 4333 0 - 0,0",""
"171","Prodaja knjig, najemnine in drugo","45580 62242 44337 97,3 71,2",""
"402","Izdatki za blago in storitve","44180 61242 44337 100,4 72,4",""
"420","Nakup in gradnja osnovnih sredstev","1400 1000 0 0,0 0,0",""
"172","Stanovanjska sredstva","950 0 0 0,0 -",""
"402","Izdatki za blago in storitve","950 0 0 0,0 -",""
"0502","Znanstveno - raziskovalna dejavnost","654081 654081 654081 100,0 100,0",""
"05023901","Znanstveno-raziskovalna dejavnost","654081 654081 654081 100,0 100,0",""
"4483","Znanstveno raziskovalni center SAZU","654081 654081 654081 100,0 100,0",""
"413","Drugi tekoči domači transferi","654081 654081 654081 100,0 100,0",""
"14","KABINET PREDSEDNIKA VLADE","2272202 2174630 1786820 78,6 82,2",""
"1411","Kabinet predsednika vlade","2272202 2174630 1786820 78,6 82,2",""
"01","POLITIČNI SISTEM","2272202 2174630 1786820 78,6 82,2",""
"0101","Politični sistem","2272202 2174630 1786820 78,6 82,2",""
"01011401","Dejavnost kabineta predsednika vlade","2272202 2174630 1786820 78,6 82,2",""
"3002","Plače","1598907 1615014 1311915 82,1 81,2",""
"400","Plače in drugi izdatki zaposlenim","1364276 1380383 1130690 82,9 81,9",""
"401","Prispevki delodajalcev za socialno varnost","234631 234631 181225 77,2 77,2",""
"3326","Materialni stroški","603086 487054 435073 72,1 89,3",""
"402","Izdatki za blago in storitve","603086 487054 435073 72,1 89,3",""
"2825","Investicije in investicijsko vzdrževanje državnih organov","12307 14361 13861 112,6 96,5",""
"420","Nakup in gradnja osnovnih sredstev","12307 14361 13861 112,6 96,5",""
"1823","Financiranje projektov","2000 2000 0 0,0 0,0",""
"402","Izdatki za blago in storitve","2000 2000 0 0,0 0,0",""
"4900","Sistem varovanja","35000 35000 25971 74,2 74,2",""
"402","Izdatki za blago in storitve","32000 32000 25098 78,4 78,4",""
"420","Nakup in gradnja osnovnih sredstev","3000 3000 873 29,1 29,1",""
"8904","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","16166 16386 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","16166 16386 0 0,0 0,0",""
"7629","Stvarno premoženje - sredstva odškodnine","4736 4815 0 0,0 0,0",""
"420","Nakup in gradnja osnovnih sredstev","4736 4815 0 0,0 0,0",""
"15","VLADNE SLUŽBE","31919651 35436770 31651939 99,2 89,3",""
"1511","Generalni sekretariat vlade","15772216 18891760 15788930 100,1 83,6",""
"01","POLITIČNI SISTEM","11210242 14329786 11246574 100,3 78,5",""
"0101","Politični sistem","11210242 14329786 11246574 100,3 78,5",""
"01011502","Dejavnost generalnega sekretariata vlade","11210242 14329786 11246574 100,3 78,5",""
"1576","Plače","5296196 5410005 5097214 96,2 94,2",""
"400","Plače in drugi izdatki zaposlenim","4558719 4660399 4388572 96,3 94,2",""
"401","Prispevki delodajalcev za socialno varnost","737477 749606 708641 96,1 94,5",""
"1607","Materialni stroški","1199465 1646514 1523665 127,0 92,5",""
"402","Izdatki za blago in storitve","1199465 1646514 1523665 127,0 92,5",""
"1554","Investicije in investicijsko vzdrževanje državnih organov","599955 972182 933739 155,6 96,1",""
"402","Izdatki za blago in storitve","0 1703 1703 - 100,0",""
"420","Nakup in gradnja osnovnih sredstev","599955 970479 932036 155,4 96,0",""
"9554","Stvarno premoženje - sredstva od obremenitve s stavbno ali služnostno pravico","0 6480 0 - 0,0",""
"402","Izdatki za blago in storitve","0 6480 0 - 0,0",""
"1309","EU - portal in e - seje vlade","268930 209780 198118 73,7 94,4",""
"402","Izdatki za blago in storitve","168572 157380 155650 92,3 98,9",""
"420","Nakup in gradnja osnovnih sredstev","100358 52400 42467 42,3 81,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","77142 326980 326979 423,9 100,0",""
"4324","Sofinanciranje strank","2808989 2808989 2808989 100,0 100,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","2808989 2808989 2808989 100,0 100,0",""
"8922","Stvarno premoženje - sredstva kupnine od prodaje državnega premoženja","261133 2013503 39871 15,3 2,0",""
"420","Nakup in gradnja osnovnih sredstev","261133 2013503 39871 15,3 2,0",""
"7901","Osnovna sredstva - sredstva odškodnine","0 5153 0 - 0,0",""
"402","Izdatki za blago in storitve","0 5153 0 - 0,0",""
"7409","Najemnine - sredstva najemnine","698432 930201 318000 45,5 34,2",""
"402","Izdatki za blago in storitve","0 419817 0 - 0,0",""
"420","Nakup in gradnja osnovnih sredstev","98432 192384 0 0,0 0,0",""
"431","Investicijski transferi pravnim in fizičnim osebam, ki niso proračunski uporabniki","600000 318000 318000 53,0 100,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","4561974 4561974 4542356 99,6 99,6",""
"0403","Druge skupne administrativne službe","4561974 4561974 4542356 99,6 99,6",""
"04031509","Izvedba protokolarnih dogodkov","4561974 4561974 4542356 99,6 99,6",""
"2175","JGZ - Brdo","4561974 4561974 4542356 99,6 99,6",""
"413","Drugi tekoči domači transferi","4561974 4561974 4542356 99,6 99,6",""
"1512","Protokol v vladi Republike Slovenije","2130383 2056384 1994795 93,6 97,0",""
"04","SKUPNE ADMINISTRATIVNE SLUŽBE IN SPLOŠNE JAVNE STORITVE","2130383 2056384 1994795 93,6 97,0",""
"0403","Druge skupne administrativne službe","2130383 2056384 1994795 93,6 97,0",""
"04031509","Izvedba protokolarnih dogodkov","2130383 2056384 1994795 93,6 97,0",""
"3005","Plače","1191216 1153195 1112376 93,4 96,5",""
"400","Plače in drugi izdatki zaposlenim","1013691 975670 953418 94,1 97,7",""
"401","Prispevki delodajalcev za socialno varnost","177525 177525 158958 89,5 89,5",""
"3329","Materialni stroški","158000 192275 192200 121,7 100,0",""
"402","Izdatki za blago in storitve","158000 192275 192200 121,7 100,0",""
"2826","Investicije in investicijsko vzdrževanje državnih organov","19000 19000 18927 99,6 99,6",""
"420","Nakup in gradnja osnovnih sredstev","19000 19000 18927 99,6 99,6",""
"3653","Drugi odhodki za delo na drugih področjih","542746 476133 455512 83,9 95,7",""
"402","Izdatki za blago in storitve","542746 476133 455512 83,9 95,7",""
"5430","Državne proslave","219421 215781 215781 98,3 100,0",""
"402","Izdatki za blago in storitve","219421 215781 215781 98,3 100,0",""
"1515","Urad za enake možnosti","445283 450258 386576 86,8 85,9",""
"01","POLITIČNI SISTEM","445283 450258 386576 86,8 85,9",""
"0101","Politični sistem","445283 450258 386576 86,8 85,9",""
"01011501","Spremljanje položaja žensk in uresničevanje njihovih pravic","445283 450258 386576 86,8 85,9",""
"7678","Plače","266999 304505 304199 113,9 99,9",""
"400","Plače in drugi izdatki zaposlenim","231679 262518 262254 113,2 99,9",""
"401","Prispevki delodajalcev za socialno varnost","35320 41987 41945 118,8 99,9",""
"402","Izdatki za blago in storitve","60264 58482 52152 86,5 89,2",""
"1060","Investicije in investicijsko vzdrževanje državnih organov","5500 6509 6509 118,4 100,0",""
"420","Nakup in gradnja osnovnih sredstev","5500 6509 6509 118,4 100,0",""
"1310","Raziskave in analize s področja enakih možnosti","13000 7000 7000 53,9 100,0",""
"402","Izdatki za blago in storitve","13000 7000 7000 53,9 100,0",""
"4390","Sofinanciranje programov nevladnih ženskih organizacij","19200 19200 16715 87,1 87,1",""
"402","Izdatki za blago in storitve","1200 1200 0 0,0 0,0",""
"412","Transferi neprofitnim organizacijam in ustanovam","18000 18000 16715 92,9 92,9",""
"1318","Sofinanciranje publikacij s področja enakih možnosti žensk in moških","11819 0 0 0,0 -",""
"402","Izdatki za blago in storitve","6819 0 0 0,0 -",""
"412","Transferi neprofitnim organizacijam in ustanovam","5000 0 0 0,0 -",""
"402","Izdatki za blago in storitve","54562 54562 0 0,0 0,0",""
"402","Izdatki za blago in storitve","13939 0 0 0,0 -",""
"1516","Urad za narodnosti vlade Republike Slovenije","4927008 5107746 4886803 99,2 95,7",""
"18","KULTURA, ŠPORT IN NEVLADNE ORGANIZACIJE","4927008 5107746 4886803 99,2 95,7",""
